"","case_number","to_pay","paid","balance"
"202","19-008804-co"," 195.00"," 195.00","0.00"
"203","19-008805-co"," 195.00"," 195.00","0.00"
"204","19-008806-co"," 0.30"," 0.30","0.00"
"205","19-008807-co"," 195.00"," 195.00","0.00"
"206","19-008808-co"," 205.00"," 205.00","0.00"
"207","19-008809-co"," 195.00"," 195.00","0.00"
"208","19-008810-co"," 195.00"," 195.00","0.00"
"209","19-008811-co"," 0.30"," 0.30","0.00"
"210","19-008814-co"," 195.00"," 195.00","0.00"
"211","19-008815-co"," 205.00"," 205.00","0.00"
"212","19-008816-co"," 0.30"," 0.30","0.00"
"213","19-008817-co"," 205.00"," 205.00","0.00"
"214","19-008818-co"," 195.00"," 195.00","0.00"
"215","19-008820-co"," 198.95"," 198.95","0.00"
"216","19-008822-co"," 195.00"," 195.00","0.00"
"217","19-008823-co"," 208.96"," 208.96","0.00"
"218","19-008825-co"," 205.00"," 205.00","0.00"
"219","19-008832-co"," 195.00"," 195.00","0.00"
"220","19-008833-co"," 205.00"," 205.00","0.00"
"221","19-008834-co"," 195.00"," 195.00","0.00"
"222","19-008835-co"," 195.00"," 195.00","0.00"
"223","19-008836-co"," 195.00"," 195.00","0.00"
"224","19-008837-co"," 195.00"," 195.00","0.00"
"225","19-008838-co"," 195.00"," 195.00","0.00"
"226","19-008839-co"," 205.00"," 205.00","0.00"
"227","19-008759-co"," 205.00"," 205.00","0.00"
"228","19-008760-co"," 5.00"," 5.00","0.00"
"229","19-008762-co"," 0.30"," 0.30","0.00"
"230","19-008764-co"," 195.00"," 195.00","0.00"
"231","19-008766-co"," 195.00"," 195.00","0.00"
"232","19-008768-co"," 196.38"," 196.38","0.00"
"233","19-008771-co"," 0.60"," 0.60","0.00"
"234","19-008772-co"," 195.00"," 195.00","0.00"
"235","19-008773-co"," 195.00"," 195.00","0.00"
"236","19-008774-co"," 195.75"," 195.75","0.00"
"237","19-008775-co"," 205.00"," 205.00","0.00"
"238","19-008776-co"," 214.41"," 214.41","0.00"
"239","19-008778-co"," 195.00"," 195.00","0.00"
"240","19-008779-co"," 210.07"," 210.07","0.00"
"241","19-008780-co"," 195.00"," 195.00","0.00"
"242","19-008781-co"," 240.05"," 240.05","0.00"
"243","19-008782-co"," 195.00"," 195.00","0.00"
"244","19-008783-co"," 195.00"," 195.00","0.00"
"245","19-008784-co"," 195.00"," 195.00","0.00"
"246","19-008785-co"," 195.00"," 195.00","0.00"
"247","19-008786-co"," 8.65"," 8.65","0.00"
"248","19-008787-co"," 205.00"," 205.00","0.00"
"249","19-008790-co"," 195.00"," 195.00","0.00"
"250","19-008791-co"," 205.00"," 205.00","0.00"
"251","19-008792-co"," 205.00"," 205.00","0.00"
