"","case_number","to_pay","paid","balance"
"160","19-007032-co"," 215.00"," 215.00","0.00"
"161","19-007033-co"," 195.00"," 195.00","0.00"
"162","19-007034-co"," 195.00"," 195.00","0.00"
"163","19-007035-co"," 215.00"," 215.00","0.00"
"164","19-007037-co"," 195.00"," 195.00","0.00"
"165","19-007038-co"," 195.00"," 195.00","0.00"
"166","19-007039-co"," 195.00"," 195.00","0.00"
"167","19-007041-co"," 217.50"," 217.50","0.00"
"168","19-007042-co"," 205.00"," 205.00","0.00"
"169","19-007043-co"," 195.00"," 195.00","0.00"
"170","19-007000-co"," 225.00"," 225.00","0.00"
"171","19-007001-co"," 215.00"," 215.00","0.00"
"172","19-007002-co"," 195.00"," 195.00","0.00"
"173","19-007003-co"," 195.00"," 195.00","0.00"
"174","19-006966-co"," 321.48"," 321.48","0.00"
"175","19-006968-co"," 198.50"," 198.50","0.00"
"176","19-006969-co"," 0.00"," 0.00","0.00"
"177","19-006970-co"," 211.92"," 211.92","0.00"
"178","19-006971-co"," 199.88"," 199.88","0.00"
"179","19-006973-co"," 195.00"," 195.00","0.00"
"180","19-006974-co"," 195.00"," 195.00","0.00"
"181","19-006975-co"," 205.00"," 205.00","0.00"
"182","19-006977-co"," 195.00"," 195.00","0.00"
"183","19-006978-co"," 1.29"," 1.29","0.00"
"184","19-006979-co"," 195.00"," 195.00","0.00"
"185","19-006980-co"," 200.48"," 200.48","0.00"
"186","19-006981-co"," 195.00"," 195.00","0.00"
"187","19-006982-co"," 195.00"," 195.00","0.00"
"188","19-006983-co"," 205.00"," 205.00","0.00"
"189","19-006984-co"," 1.80"," 1.80","0.00"
"190","19-006985-co"," 195.00"," 195.00","0.00"
"191","19-006986-co"," 195.00"," 195.00","0.00"
"192","19-006987-co"," 323.50"," 323.50","0.00"
"193","19-006988-co"," 195.00"," 195.00","0.00"
"194","19-006989-co"," 195.00"," 195.00","0.00"
"195","19-006990-co"," 195.00"," 195.00","0.00"
"196","19-006991-co"," 195.00"," 195.00","0.00"
"197","19-006992-co"," 195.00"," 195.00","0.00"
"198","19-006993-co"," 195.00"," 195.00","0.00"
"199","19-006995-co"," 195.00"," 195.00","0.00"
"200","19-006996-co"," 195.00"," 195.00","0.00"
"201","19-006997-co"," 195.00"," 195.00","0.00"
"202","19-006998-co"," 0.45"," 0.45","0.00"
"203","19-006910-co"," 195.00"," 195.00","0.00"
"204","19-006913-co"," 195.00"," 195.00","0.00"
"205","19-006914-co"," 195.00"," 195.00","0.00"
"206","19-006915-co"," 195.00"," 195.00","0.00"
"207","19-006917-co"," 195.00"," 195.00","0.00"
"208","19-006918-co"," 195.00"," 195.00","0.00"
"209","19-006919-co"," 205.00"," 205.00","0.00"
"210","19-006920-co"," 195.00"," 195.00","0.00"
"211","19-006921-co"," 195.00"," 195.00","0.00"
"212","19-006922-co"," 205.00"," 205.00","0.00"
"213","19-006923-co"," 195.00"," 195.00","0.00"
"214","19-006925-co"," 4.55"," 4.55","0.00"
"215","19-006926-co"," 199.70"," 199.70","0.00"
"216","19-006927-co"," 215.00"," 215.00","0.00"
"217","19-006928-co"," 215.00"," 215.00","0.00"
"218","19-006930-co"," 201.74"," 201.74","0.00"
"219","19-006931-co"," 195.00"," 195.00","0.00"
"220","19-006932-co"," 205.00"," 205.00","0.00"
"221","19-006933-co"," 205.00"," 205.00","0.00"
"222","19-006934-co"," 195.00"," 195.00","0.00"
"223","19-006936-co"," 195.00"," 195.00","0.00"
"224","19-006937-co"," 195.00"," 195.00","0.00"
"225","19-006938-co"," 195.00"," 195.00","0.00"
"226","19-006939-co"," 217.50"," 217.50","0.00"
"227","19-006940-co"," 195.00"," 195.00","0.00"
"228","19-006941-co"," 197.00"," 197.00","0.00"
"229","19-006942-co"," 215.00"," 215.00","0.00"
"230","19-006943-co"," 195.00"," 195.00","0.00"
"231","19-006944-co"," 195.00"," 195.00","0.00"
"232","19-006945-co"," 205.00"," 205.00","0.00"
"233","19-006946-co"," 195.00"," 195.00","0.00"
"234","19-006950-co"," 195.00"," 195.00","0.00"
"235","19-006951-co"," 0.90"," 0.90","0.00"
"236","19-006952-co"," 0.90"," 0.90","0.00"
"237","19-006953-co"," 199.49"," 199.49","0.00"
"238","19-006954-co"," 195.00"," 195.00","0.00"
"239","19-006958-co"," 195.00"," 195.00","0.00"
"240","19-006959-co"," 195.00"," 195.00","0.00"
"241","19-006960-co"," 195.00"," 195.00","0.00"
"242","19-006961-co"," 195.00"," 195.00","0.00"
"243","19-005709-ci"," 430.00"," 430.00","0.00"
"244","19-006851-co"," 200.87"," 200.87","0.00"
"245","19-006855-co"," 313.50"," 313.50","0.00"
"246","19-006858-co"," 205.00"," 205.00","0.00"
"247","19-006859-co"," 195.00"," 195.00","0.00"
"248","19-006861-co"," 205.00"," 205.00","0.00"
"249","19-006863-co"," 195.00"," 195.00","0.00"
"250","19-006868-co"," 195.00"," 195.00","0.00"
"251","19-006869-co"," 195.00"," 195.00","0.00"
"252","19-006876-co"," 195.00"," 195.00","0.00"
"253","19-006877-co"," 200.33"," 200.33","0.00"
"254","19-006878-co"," 205.00"," 205.00","0.00"
"255","19-006882-co"," 195.00"," 195.00","0.00"
"256","19-006884-co"," 195.00"," 195.00","0.00"
"257","19-006885-co"," 205.00"," 205.00","0.00"
"258","19-006886-co"," 195.00"," 195.00","0.00"
"259","19-006887-co"," 205.00"," 205.00","0.00"
"260","19-006888-co"," 195.00"," 195.00","0.00"
"261","19-006889-co"," 195.00"," 195.00","0.00"
"262","19-006890-co"," 205.00"," 205.00","0.00"
"263","19-006891-co"," 205.00"," 205.00","0.00"
"264","19-006892-co"," 205.00"," 205.00","0.00"
"265","19-006893-co"," 195.00"," 195.00","0.00"
"266","19-006894-co"," 0.15"," 0.15","0.00"
"267","19-006895-co"," 0.15"," 0.15","0.00"
"268","19-006896-co"," 0.30"," 0.30","0.00"
"269","19-006897-co"," 215.00"," 215.00","0.00"
"270","19-006898-co"," 200.87"," 200.87","0.00"
"271","19-006901-co"," 195.00"," 195.00","0.00"
"272","19-006902-co"," 195.00"," 195.00","0.00"
"273","19-006903-co"," 195.00"," 195.00","0.00"
"274","19-006904-co"," 195.00"," 195.00","0.00"
"275","19-006905-co"," 195.00"," 195.00","0.00"
"276","19-006906-co"," 195.00"," 195.00","0.00"
"277","19-006907-co"," 195.00"," 195.00","0.00"
"278","19-006908-co"," 195.00"," 195.00","0.00"
"279","19-006909-co"," 195.00"," 195.00","0.00"
"280","19-006911-co"," 205.00"," 205.00","0.00"
"281","19-006793-co"," 204.38"," 204.38","0.00"
"282","19-006796-co"," 223.65"," 223.65","0.00"
